BldgNo,BldgLoc,BldgType,BldgHeight,SRouterBF,SRinnerBF,SRouterAF,SRinnerAF
1,Overlandpark,Commercial,Lowrise,30667,27746,27353,25100
1,Overlandpark,Industrial,Lowrise,30556,30653,27337,24571
1,Columbia,Residential,Midrise,30666,32737,27321,23877
1,Overlandpark,Residential,Lowrise,34098,27709,29822,28347
2,Overlandpark,Residential,Highrise,34072,30621,29814,27797
2,Columbia,Commercial,Lowrise,34098,32700,29792,26962
2,Columbia,Industrial,Lowrise,36930,27654,31869,31025
2,Columbia,Residential,Lowrise,36464,30567,31861,30488
2,Overlandpark,Residential,Highrise,36014,32658,31838,29708
3,Overlandpark,Residential,Highrise,30013,27746,27353,25100
3,Overlandpark,Residential,Lowrise,30025,30653,27337,24571
3,Overlandpark,Residential,Highrise,30621,32737,27321,23877
3,Overlandpark,Residential,Lowrise,34453,27709,29822,28347
3,Columbia,Commercial,Midrise,34122,30621,29814,27797
4,Overlandpark,Industrial,Lowrise,34057,32700,29792,26962
4,Overlandpark,Residential,Midrise,36103,27654,31869,31025
4,Columbia,Residential,Lowrise,36254,30567,31861,30488
4,Columbia,Industrial,Midrise,36897,32658,31838,29708
4,Columbia,Residential,Midrise,30353,27746,27352,25100
5,Columbia,Residential,Lowrise,30424,30653,27337,24571
5,Overlandpark,Residential,Lowrise,30567,32737,27320,23877
5,Overlandpark,Commercial,Midrise,34757,27709,29822,28347
5,Overlandpark,Industrial,Midrise,34243,30621,29814,27797
5,Overlandpark,Residential,Midrise,34011,32700,29792,26962
6,Overlandpark,Residential,Midrise,36752,27654,31869,31025
6,Columbia,Residential,Highrise,36254,30567,31861,30488
6,Columbia,Residential,Lowrise,36846,32658,31838,29708
6,Columbia,Residential,Midrise,30245,25254,27354,25189
6,Columbia,Residential,Midrise,30624,28015,27338,24799
7,Columbia,Commercial,Midrise,30666,30125,27324,24289
7,Columbia,Industrial,Highrise,34075,25219,29822,28412
7,Overlandpark,Commercial,Midrise,34427,27987,29814,27997
7,Columbia,Industrial,Highrise,34098,30089,29794,27449
7,Overlandpark,Residential,Midrise,36924,25174,31869,31089
8,Overlandpark,Residential,Midrise,36250,27937,31862,30702
8,Columbia,Residential,Midrise,36930,30054,31840,30149
8,Columbia,Commercial,Highrise,30654,25254,27354,25189
8,Overlandpark,Industrial,Highrise,30024,28015,27338,24799
8,Overlandpark,Residential,Midrise,30621,30125,27324,24289
9,Overlandpark,Residential,Highrise,34057,25219,29822,28412
9,Overlandpark,Residential,Lowrise,34023,27987,29814,27997
9,Columbia,Residential,Highrise,34755,30089,29794,27449
9,Columbia,Residential,Midrise,36897,25174,31869,31089
9,Columbia,Residential,Highrise,36457,27937,31862,30702
10,Overlandpark,Commercial,Highrise,36578,30054,31840,30149
10,Columbia,Industrial,Highrise,30567,25254,27353,25189
10,Columbia,Residential,Lowrise,30354,28015,27337,24799
10,Columbia,Residential,Highrise,30277,30125,27323,24289
10,Columbia,Industrial,Lowrise,34245,25219,29822,28412
11,Overlandpark,Residential,Lowrise,34246,27987,29814,27997
11,Overlandpark,Residential,Midrise,34011,30089,29794,27449
11,Columbia,Residential,Lowrise,36578,25174,31869,31089
11,Columbia,Commercial,Lowrise,36865,27937,31862,30702
11,Columbia,Industrial,Highrise,36846,30054,31840,30149
12,Overlandpark,Residential,Midrise,28000,27747,24799,22435
12,Overlandpark,Residential,Midrise,28852,30653,24786,22020
12,Columbia,Residential,Lowrise,28257,32737,24770,21555
12,Overlandpark,Residential,Midrise,31256,27712,27245,25280
12,Overlandpark,Residential,Highrise,31527,30627,27237,24844
13,Overlandpark,Residential,Midrise,31525,32703,27214,24310
